      # name ref Mv logRe logM* logSigma_e
       1316  8  -8.3  0.501  5.568  3.767
       1316  8  -9.1  0.443  5.906  4.222
       1316  8  -7.4  0.700  5.243  3.046
       1316  8  -5.5  0.430  4.482  2.824
       1316  8  -8.7  0.422  5.743  4.101
       1316  8  -6.7  0.220  5.226  3.988
       1316  8  -8.3  0.475  5.611  3.863
       1316  8  -7.9  0.527  5.418  3.566
       1316  8  -8.7  0.362  5.923  4.401
       1316  8  -7.9  0.427  5.595  3.943
       1316  8  -9.6  0.416  6.458  4.829
       1316  8  -8.6  0.598  5.858  3.863
       1316  8  -8.1  0.429  5.712  4.055
       1316  8  -8.4  0.509  5.604  3.788
       1316  8  -7.2  0.391  5.192  3.612
       1316  8  -7.2  0.423  5.155  3.512
       1316  8  -5.5  0.418  4.450  2.816
       1316  8  -8.2  0.705  5.577  3.370
       1316  8  -8.3  0.682  5.692  3.530
       1316  8  -5.8  0.304  4.936  3.530
       1316  8  -8.0  0.718  5.897  3.663
       1316  8 -11.1  0.591  6.950  4.970
       1316  8  -9.7  0.389  6.238  4.663
       1316  8  -6.6  0.473  5.316  3.572
       1316  8  -7.5  0.446  5.587  3.896
       1316  8  -5.8  0.356  4.643  3.132
       1316  8  -8.8  0.445  5.830  4.141
       1316  8  -7.1  0.491  5.221  3.442
       1316  8  -7.5  0.325  5.638  4.189
       1316  8  -7.9  0.423  5.405  3.760
       1316  8  -6.8  0.155  5.161  4.052
       1316  8  -5.8  0.031  4.766  3.906
       1316  8  -7.8  0.520  5.379  3.540
       1316  8  -7.6  0.364  5.421  3.895
       1316  8  -9.1  0.319  6.025  4.588
       1316  8  -8.0  0.348  5.522  4.028
       1316  8  -7.6  0.310  5.593  4.174
       1316  8  -6.0  0.691  4.810  2.631
       1316  8  -7.0  0.359  5.318  3.801
       1316  8  -6.9  0.389  5.353  3.778
       1316  8  -8.5  0.508  5.656  3.841
       1316  8  -5.9  0.425  4.590  2.942
       1316  8  -9.5  0.688  6.435  4.260
       1316  8  -8.2  0.365  5.824  4.296
       1316  8  -9.4  0.441  6.057  4.376
       1316  8  -7.3  0.380  5.415  3.857
       1316  8  -7.2  0.524  5.335  3.490
       1316  8  -5.7  0.431  4.546  2.887
       1316  8 -10.0  0.478  6.391  4.637
       1316  8  -5.9  0.402  4.727  3.125
       1316  8  -6.1  0.188  4.705  3.531
       1316  8  -7.4  0.696  5.175  2.986
       1316  8  -7.8  0.409  5.497  3.880
       1316  8  -8.5  0.399  5.781  4.185
       1316  8 -10.1  0.533  6.358  4.494
       1316  8  -7.9  0.416  5.676  4.046
       1316  8  -5.8  0.412  4.872  3.249
       1316  8  -9.5  0.702  6.080  3.878
       1316  8  -9.4  0.348  6.265  4.770
       1316  8  -9.8  0.494  6.255  4.469
       1316  8  -7.4  0.339  5.507  4.030
       1316  8  -8.8  0.643  5.929  3.845
       1316  8  -9.5  0.467  6.061  4.329
       1316  8  -8.1  0.484  5.665  3.899
       1316  8  -8.3  0.534  5.678  3.812
       1316  8  -6.2  0.743  4.878  2.594
       1316  8  -5.4  0.687  4.502  2.331
       1316  8  -6.8  0.768  5.206  2.872
       1978  8  -9.0  0.267  6.122  4.790
       1978  8  -8.9  0.262  6.225  4.904
       1978  8  -7.4  0.248  5.490  4.196
       1978  8  -8.6  0.348  5.936  4.441
       1978  8 -10.0  0.291  6.348  4.968
       1978  8  -8.5  0.271  5.919  4.578
       1978  8  -7.4  0.600  5.376  3.378
       1978  8  -9.4  0.500  6.141  4.343
       1978  8  -8.1  0.537  5.571  3.699
       1978  8  -7.3  0.375  5.613  4.065
       1978  8  -8.7  0.308  5.763  4.347
       1978  8 -10.3  0.369  6.698  5.162
       1978  8  -7.8  0.295  5.777  4.390
       1978  8 -10.0  0.390  6.355  4.777
       1978  8  -9.4  0.319  6.281  4.844
       1978  8  -9.4  0.236  6.290  5.020
       1978  8  -9.7  0.416  6.188  4.558
       1978  8  -8.8  0.371  6.049  4.509
       1978  8  -6.6  0.191  5.316  4.135
       1978  8  -9.1  0.457  6.172  4.460
       1978  8  -8.3  0.281  5.872  4.512
       1978  8  -8.1  0.521  5.645  3.805
       1978  8  -9.5  0.200  6.243  5.044
       1978  8  -9.6  0.495  6.141  4.352
       1978  8  -7.2  0.227  5.566  4.314
       1978  8  -9.1  0.195  6.219  5.032
       1978  8  -7.9  0.505  5.601  3.792
       1978  8  -7.3  0.672  5.575  3.432
       1978  8  -9.9  0.416  6.264  4.634
       1978  8  -8.8 -0.084  5.862  5.231
       1978  8  -7.0  0.287  5.195  3.824
       1978  8  -7.7  0.320  5.769  4.330
       1978  8  -7.6  0.189  5.284  4.108
       1978  8  -8.3  0.189  5.839  4.663
       1978  8  -8.3  0.257  5.587  4.275
       1978  8  -8.0  0.248  5.686  4.392
       1978  8 -11.5  0.682  7.300  5.138
       1978  8  -8.7  0.319  5.768  4.332
       1978  8  -6.9  0.591  5.170  3.190
       1978  8  -7.9  0.504  5.530  3.725
       1978  8  -9.5  0.687  6.077  3.904
       1978  8  -7.3  0.137  5.179  4.107
       1978  8  -8.8  0.340  6.178  4.700
       1978  8  -9.1  0.492  5.918  4.136
       1978  8  -7.3  0.274  5.198  3.852
       1978  8  -8.5  0.446  5.852  4.162
       1978  8  -7.5  0.419  5.254  3.618
       1978  8 -10.1  0.486  6.357  4.586
       1978  8  -8.2  0.327  5.704  4.252
       1978  8  -7.9  0.322  5.807  4.365
       1978  8  -7.3  0.443  5.581  3.898
       1978  8  -6.9  0.094  5.123  4.137
       1978  8  -8.6  0.572  5.739  3.797
       1978  8  -9.9  0.477  6.254  4.503
       1978  8  -7.7  0.336  5.368  3.898
       1978  8  -9.1  0.324  6.240  4.793
       1978  8  -8.3  0.329  5.620  4.163
       1978  8  -7.2  0.039  5.568  4.692
       1978  8  -7.4  0.397  5.670  4.078
       1978  8  -6.6  0.280  5.283  3.925
       1978  8  -8.4  0.316  5.902  4.472
       1978  8  -8.9  0.508  5.861  4.047
       1978  8  -7.6  0.139  5.524  4.448
       1978  8  -8.0  0.410  5.649  4.031
       1978  8  -7.1  0.317  5.497  4.065
       1978  8  -8.5  0.338  5.866  4.392
       1978  8 -10.6  0.991  6.517  3.737
       1978  8  -7.5  0.536  5.446  3.577
       1978  8  -6.8  0.283  5.282  3.918
       1978  8  -9.2  0.334  6.347  4.881
       1978  8  -8.1  0.433  5.562  3.897
       1978  8  -8.2  0.344  5.731  4.246
       1978  8  -7.5  0.403  5.688  4.084
       1978  8  -7.9  0.384  5.391  3.824
       1978  8  -6.5  0.393  5.285  3.701
       1978  8 -11.0  0.741  6.801  4.520
       1978  8  -6.5  0.483  4.837  3.072
       1978  8  -6.6  0.239  4.942  3.666
       1978  8  -6.6  0.370  5.049  3.512
       1978  8  -7.5  0.358  5.677  4.164
       1978  8  -8.1  0.430  5.669  4.010
       1978  8  -9.2  0.452  5.983  4.280
       1978  8  -7.7  0.433  5.397  3.732
       1978  8  -7.0  0.329  5.087  3.632
       1978  8  -8.0  0.856  5.602  3.091
       1978  8  -6.4  0.196  5.100  3.910
       1978  8  -8.7  0.410  5.755  4.136
       1978  8  -7.9  0.216  5.594  4.363
       1978  8  -7.1  0.337  5.437  3.964
       1978  8  -6.7  0.335  5.232  3.764
       1978  8  -8.5  0.144  6.042  4.956
       1978  8  -7.7  0.316  5.524  4.094
       1978  8  -6.9  0.391  5.425  3.845
       1978  8  -8.9  0.433  5.861  4.197
       1978  8  -6.3  0.381  4.957  3.397
       1978  8  -8.0  0.324  5.728  4.283
       1978  8  -7.0  0.439  5.072  3.396
       1978  8  -8.6  0.290  5.916  4.537
       1978  8  -8.1  0.142  5.881  4.799
       1978  8  -8.6  0.469  5.718  3.980
       1978  8  -8.8  0.421  5.965  4.326
       1978  8  -9.4  0.394  6.100  4.513
       1978  8  -7.1  0.220  5.393  4.155
       1978  8  -6.8  0.396  5.096  3.506
       1978  8  -8.2  0.332  5.904  4.442
       1978  8  -7.9  0.159  5.640  4.524
       1978  8  -8.4  0.547  6.068  4.175
       1978  8  -8.2  0.377  5.683  4.131
       1978  8  -7.6  0.431  5.338  3.679
       1978  8  -7.8  0.398  5.372  3.778
       1978  8  -7.1  0.362  5.561  4.039
       1978  8  -9.2  0.161  6.279  5.159
       1978  8  -6.5  0.613  4.859  2.834
       1978  8  -6.3  0.333  5.129  3.664
       1978  8  -7.9  0.212  5.779  4.557
       1978  8  -7.6  0.308  5.341  3.927
       1978  8  -6.2  0.078  4.724  3.769
       1978  8  -8.2  0.287  5.600  4.227
       1978  8  -6.6  0.684  5.316  3.150
       1978  8  -9.2  0.345  5.955  4.468
       1978  8  -9.3  0.374  6.324  4.777
       1978  8  -6.7  0.077  4.932  3.980
       1978  8  -8.2  0.423  5.781  4.138
       1978  8  -6.0  0.409  4.595  2.979
       1978  8  -9.6  0.267  6.252  4.919
       1978  8  -8.4  0.477  5.671  3.918
       1978  8  -8.2  0.297  5.889  4.496
       1978  8  -9.3  0.379  6.167  4.612
       1978  8  -7.3  0.412  5.147  3.525
       1978  8  -6.8  0.483  5.134  3.370
       1978  8  -9.5  0.357  6.207  4.695
       1978  8  -6.3  0.595  5.252  3.264
       1978  8  -7.1  0.514  5.112  3.287
       1978  8  -8.4  0.329  5.627  4.170
       1978  8  -9.3  0.324  6.357  4.911
       1978  8  -6.1  0.419  4.954  3.318
       1978  8  -7.5  0.472  5.529  3.786
       1978  8  -7.7  0.289  5.580  4.203
       1978  8  -9.1  0.335  5.950  4.482
       1978  8  -8.1  0.803  5.627  3.223
       1978  8  -9.0  0.310  6.047  4.629
       1978  8  -9.4  0.428  6.383  4.729
       1978  8  -7.8  0.534  5.673  3.807
       1978  8  -6.6  0.489  5.370  3.594
       1978  8  -9.7  0.400  6.170  4.572
       1978  8  -6.6  0.427  5.298  3.645
       1978  8  -7.3  0.239  5.524  4.248
       1978  8  -8.0  0.558  5.590  3.675
       1978  8  -8.0  0.459  5.467  3.751
       1978  8  -9.9  0.378  6.353  4.799
       1978  8  -6.5  0.145  4.823  3.734
       1978  8  -7.5  0.335  5.231  3.763
       1978  8  -9.6  0.362  6.195  4.672
       1978  8  -6.5  0.318  4.934  3.501
       1978  8  -8.9  0.316  6.139  4.709
       1978  8  -8.3  0.558  5.626  3.712
       1978  8 -10.4  0.539  6.437  4.562
       1978  8  -8.2  0.400  5.743  4.145
       1978  8  -7.6  0.154  5.670  4.564
       1978  8  -8.0  0.281  5.873  4.512
       1978  8  -8.1  0.138  5.794  4.720
       1978  8  -7.4  0.610  5.307  3.288
       1978  8 -10.0  0.429  6.539  4.882
       1978  8  -7.0  0.406  5.338  3.727
       1978  8  -8.9  0.315  6.120  4.691
       1978  8  -9.8  0.331  6.345  4.885
       1978  8  -9.7  0.465  6.141  4.413
       1978  8  -7.7  0.284  5.378  4.012
       1978  8  -5.7  0.331  4.583  3.123
       1978  8  -6.2 -0.028  4.765  4.023
       1978  8  -8.5  0.346  6.021  4.530
       1978  8  -7.6  0.670  5.434  3.295
       1978  8  -7.9  0.261  5.573  4.253
       1978  8  -8.4  0.328  5.723  4.270
       1978  8  -8.4  0.607  5.638  3.626
       1978  8  -9.9  0.337  6.619  5.148
       1978  8  -7.1  0.345  5.397  3.910
       1978  8  -8.5  0.319  5.965  4.530
       1978  8  -5.7  0.455  4.879  3.170
       1978  8  -7.4  0.243  5.202  3.917
       1978  8  -8.0  0.282  5.821  4.459
       1978  8  -8.4  0.476  5.714  3.964
       1978  8  -9.0  0.436  6.018  4.349
       1978  8  -9.8  0.638  6.202  4.129
       1978  8  -7.3  0.097  5.560  4.568
       1978  8  -6.9  0.490  4.989  3.212
       1978  8  -9.1  0.402  6.279  4.677
       1978  8  -9.4  0.135  6.275  5.207
       1978  8  -6.4  0.120  5.104  4.066
       1978  8  -7.1  0.139  5.416  4.339
       1978  8  -5.7  0.379  4.692  3.136
       1978  8  -6.7  0.379  5.374  3.818
       1978  8  -9.2  0.384  6.026  4.460
       1978  8  -6.8  0.319  5.130  3.695
       1978  8  -7.0  0.333  5.258  3.793
       1978  8  -8.2  0.263  5.694  4.369
       1978  8  -8.9  0.307  6.158  4.746
       1978  8  -6.3  0.587  4.781  2.810
       1978  8  -8.3  0.278  5.837  4.482
       1978  8  -6.8  0.497  5.247  3.455
       1978  8  -6.1  0.395  4.737  3.149
       1978  8  -8.7  0.338  5.851  4.377
       1978  8  -9.0  0.294  6.145  4.759
       1978  8  -7.3  0.496  5.377  3.588
       1978  8  -7.3  0.260  5.224  3.906
       1978  8  -7.5  0.285  5.278  3.910
       1978  8  -7.3  0.292  5.497  4.115
       1978  8  -7.3  0.335  5.320  3.851
       1978  8  -9.6  0.722  6.105  3.863
       1978  8  -7.7  0.241  5.368  4.088
       1978  8  -7.1  0.371  5.075  3.535
       1978  8  -7.0  0.283  5.326  3.962
       1978  8  -8.0  0.418  5.471  3.837
       1978  8  -7.4  0.421  5.177  3.537
       1978  8  -6.5  0.423  4.820  3.177
       1978  8  -8.3  0.362  5.568  4.046
       1978  8  -8.4  0.425  5.907  4.258
       1978  8  -7.7  0.246  5.740  4.449
       1978  8  -8.1  0.389  5.918  4.342
       1978  8  -7.5  0.230  5.586  4.328
       1978  8  -6.9  0.761  5.181  2.861
       1978  8  -8.7  0.543  5.739  3.854
       1978  8  -9.4  0.195  6.168  4.981
       1978  8  -6.4  0.457  5.275  3.563
       1978  8  -9.4  0.368  6.023  4.489
       1978  8  -8.9  0.339  6.183  4.706
       1978  8  -8.5  0.295  6.079  4.690
       1978  8  -7.2  0.178  5.199  4.045
       1978  8  -6.9  0.130  5.368  4.310
       1978  8  -7.3  0.432  5.417  3.755
       1978  8  -8.9  0.868  5.979  3.446
       1978  8  -8.5  0.500  5.703  3.905
       1978  8  -8.2  0.194  5.894  4.709
       1978  8  -6.1  0.520  4.971  3.133
       1978  8  -6.8  0.132  5.360  4.298
       1978  8  -7.6  0.231  5.706  4.446
       1978  8  -9.3  0.381  6.246  4.684
       1978  8  -7.3  0.307  5.510  4.099
       1978  8  -8.6  0.202  6.038  4.835
       1978  8  -7.1  0.284  5.222  3.856
       1978  8  -6.5  0.522  5.032  3.191
       1978  8  -6.9  0.240  5.042  3.764
       1978  8  -6.6  0.319  4.977  3.539
       1978  8  -8.4  0.358  5.835  4.320
       1978  8  -7.1  0.263  5.532  4.209
       1978  8  -7.3  0.306  5.286  3.876
       1978  8  -9.0  0.304  5.934  4.527
       1978  8  -8.1  0.199  5.638  4.442
       1978  8  -9.2  0.306  6.286  4.876
       1978  8  -7.3  0.441  5.520  3.840
       1978  8  -9.1  0.245  6.180  4.891
       1978  8  -7.0  0.463  5.050  3.326
       1978  8 -10.8  0.454  6.965  5.259
       1978  8  -6.6  0.579  5.337  3.381
       1978  8  -8.3  0.148  5.897  4.803
       1978  8  -6.4  0.232  5.174  3.912
       1978  8  -6.9  0.102  5.141  4.138
       1978  8  -7.0  0.349  5.260  3.763
       1978  8  -6.8  0.550  5.153  3.255
       1978  8  -5.8  0.358  4.555  3.041
       1978  8  -9.7  0.416  6.500  4.870
       1978  8  -9.3  0.286  6.038  4.669
       1978  8  -7.6  0.316  5.267  3.837
       1978  8  -8.1  0.257  5.865  4.554
       1978  8  -7.9  0.306  5.784  4.374
       1978  8  -7.4  0.656  5.157  3.046
       1978  8  -6.4  0.341  5.184  3.704
       1978  8  -9.0  0.305  5.939  4.531
       1978  8 -10.0  0.396  6.420  4.829
       1978  8  -9.0  0.242  6.199  4.916
       1978  8  -7.9  0.211  5.670  4.450
       1978  8  -7.4  0.438  5.298  3.623
       1978  8  -9.1 -0.107  6.190  5.607
       1978  8  -6.8  0.605  5.294  3.285
       1978  8  -7.0  0.317  5.092  3.660
       1978  8  -7.8  0.554  5.332  3.425
       1978  8  -6.8  0.408  5.144  3.529
       1978  8  -7.9  0.388  5.582  4.008
       1978  8  -7.2  0.223  5.512  4.268
       1978  8  -7.2  0.384  5.424  3.857
       1978  8  -7.1  0.171  5.224  4.084
       1978  8  -5.7  0.302  5.009  3.608
       1978  8  -6.2  0.308  4.737  3.322
       1978  8  -6.1  0.418  4.819  3.186
       1978  8  -6.5  0.327  5.112  3.660
       1978  8  -7.7  0.535  5.358  3.489
       1978  8  -7.4  0.319  5.580  4.145
       1978  8  -8.4  0.301  5.928  4.529
       1978  8  -8.0  0.302  5.717  4.316
       1978  8  -6.4  0.410  4.882  3.264
       1978  8  -6.1  0.603  5.141  3.136
       1978  8  -9.0  0.668  5.865  3.731
       1978  8  -6.8  0.455  5.296  3.588
       1978  8  -8.0  0.403  5.518  3.913
       1978  8  -8.5  0.292  5.904  4.522
       1978  8  -7.8  0.155  5.605  4.496
       1978  8  -9.7  0.458  6.179  4.465
       1978  8  -8.7  0.464  5.826  4.100
       1978  8  -9.7  0.295  6.350  4.962
       1978  8  -7.3  0.274  5.363  4.017
       1978  8  -8.1  0.271  5.747  4.407
       1978  8  -7.9  0.368  5.515  3.982
       1978  8  -5.5  0.523  4.591  2.746
       1978  8  -6.9  0.440  5.368  3.691
       1978  8  -9.3  0.284  6.308  4.942
       1978  8  -8.2  0.559  5.599  3.682
       1978  8  -8.8  0.369  6.051  4.515
       1978  8  -7.9  0.891  5.573  2.992
       1978  8  -5.4  0.200  4.493  3.294
       1978  8  -6.1  0.519  5.035  3.198
       1978  8  -9.3  0.366  6.053  4.523
       1978  8  -7.3  0.304  5.214  3.808
       1978  8  -6.1  0.232  5.020  3.758
       1978  8  -8.3  0.398  5.901  4.306
       1978  8  -7.5  0.493  5.250  3.466
       1978  8  -8.7  0.544  5.747  3.861
       1978  8  -6.8  0.289  5.248  3.871
       1978  8  -6.6  0.286  5.003  3.634
       1978  8  -7.3  0.314  5.210  3.783
       1978  8  -8.2  0.180  5.821  4.663
       1978  8 -10.7  0.700  6.558  4.361
       1978  8  -9.0  0.080  6.147  5.190
       1978  8  -7.1  0.520  5.087  3.249
       1978  8 -10.3  0.643  6.496  4.412
       1978  8  -9.4  0.333  6.031  4.568
       1978  8  -8.4  0.598  5.670  3.676
       1978  8  -7.9  0.368  5.430  3.896
       1978  8  -7.8  0.299  5.404  4.008
       1978  8  -6.7  0.696  5.062  2.871
       1978  8  -5.5  0.711  4.937  2.717
       1978  8  -5.7  0.505  4.797  2.989
       1978  8  -6.2  0.313  4.702  3.279
       1978  8  -9.1  0.302  5.992  4.591
       1978  8  -8.3  0.321  5.561  4.120
       1978  8  -6.2  0.166  4.694  3.564
       1978  8  -8.4  0.351  5.958  4.458
       1978  8  -6.0  0.368  5.008  3.473
       1978  8  -9.1  0.438  5.984  4.309
       1978  8  -7.4  0.468  5.301  3.567
       1978  8  -7.7  0.186  5.601  4.431
       1978  8  -6.8  0.424  5.294  3.648
       1978  8  -7.7  0.447  5.459  3.767
       1978  8  -6.6  0.308  5.227  3.812
       1978  8  -7.6  0.360  5.655  4.136
       1978  8  -8.2  0.250  5.515  4.217
       1978  8  -7.9  0.152  5.756  4.654
       1978  8  -7.5  0.307  5.370  3.959
       1978  8  -7.0  0.126  5.543  4.493
       1978  8  -7.3  0.084  5.615  4.648
       1978  8  -7.3  0.300  5.396  3.999
       1978  8  -7.8  0.648  5.732  3.638
       1978  8  -7.7  0.468  5.400  3.665
       1978  8  -8.4  0.475  6.059  4.310
       1978  8  -6.5  0.173  5.133  3.989
       1978  8  -8.7  0.400  5.834  4.236
       1978  8  -7.8  0.447  5.765  4.073
       1978  8  -7.2  0.362  5.389  3.868
       1978  8  -7.7  0.276  5.761  4.411
       1978  8  -6.5  0.347  4.844  3.352
       1978  8  -9.3  0.403  6.323  4.719
       1978  8  -8.8  0.348  6.173  4.678
       1978  8  -8.1  0.699  5.534  3.338
       1978  8  -8.2  0.225  5.726  4.479
       1978  8  -6.7  0.298  4.959  3.565
       1978  8  -7.2  0.302  5.258  3.855
       1978  8  -7.8  0.314  5.400  3.973
       1978  8  -7.6  0.487  5.304  3.531
       1978  8 -10.2  0.396  6.411  4.820
       1978  8  -7.9  0.356  5.563  4.053
       1978  8  -8.3  0.167  5.743  4.611
       1978  8  -7.1  0.420  5.286  3.648
       1978  8  -6.9  0.458  5.078  3.365
       1978  8  -7.5  0.400  5.281  3.683
       1978  8  -7.4  0.533  5.351  3.488
       1978  8  -8.8  0.465  5.832  4.104
       1978  8  -7.4  0.489  5.274  3.497
       1978  8  -6.4  0.329  5.101  3.644
       1978  8  -6.3  0.647  4.770  2.678
       1978  8  -5.5 -0.026  4.766  4.020
       1978  8  -6.7  0.795  5.244  2.855
       1978  8  -8.0  0.269  5.588  4.252
       1978  8  -7.9  0.485  5.800  4.032
       1978  8  -7.0  0.695  5.005  2.817
       1978  8  -9.6  0.471  6.095  4.356
       1978  8  -6.8  0.302  5.015  3.612
       1978  8  -7.7  0.226  5.571  4.321
       1978  8  -9.3  0.402  6.303  4.701
       1978  8  -6.7  0.259  5.144  3.829
       1978  8  -6.9  0.535  5.503  3.635
       1978  8  -9.5  0.455  6.268  4.560
       1978  8  -9.0  0.284  6.206  4.840
       1978  8  -6.5  0.508  5.243  3.429
       1978  8  -7.7  0.445  5.730  4.042
       1978  8  -9.5  0.409  6.110  4.493
       1978  8  -7.1  0.195  5.469  4.281
       1978  8  -5.6  0.453  4.989  3.286
       1978  8  -7.2  0.039  5.325  4.450
       1978  8 -10.1  0.579  6.332  4.376
       1978  8  -9.0  0.449  6.151  4.454
       1978  8  -7.1  0.277  5.308  3.955
       1978  8  -7.6  0.314  5.317  3.890
       1978  8  -6.0  0.347  5.069  3.577
       1978  8  -8.4  0.306  5.849  4.439
       1978  8  -8.7  0.377  6.161  4.608
       1978  8  -6.1  0.213  4.913  3.688
       1978  8  -7.2  0.434  5.186  3.520
       1978  8  -8.3  0.389  5.821  4.245
       1978  8  -8.1  0.297  5.563  4.171
       1978  8  -7.5  0.314  5.549  4.124
       1978  8  -7.1  0.416  5.114  3.483
       1978  8  -7.8  0.204  5.392  4.187
       1978  8  -6.2  0.591  4.781  2.802
       1978  8  -9.4  0.345  6.362  4.873
       1978  8  -8.0  0.223  5.902  4.659
       1978  8  -6.4  0.152  5.152  4.050
       1978  8 -10.2  0.356  6.675  5.164
       1978  8  -6.5  0.726  4.835  2.584
       1978  8  -6.7  0.582  4.986  3.023
       1978  8  -9.3  0.248  6.039  4.745
       1978  8  -7.7  0.538  5.338  3.465
       1978  8  -8.8  0.359  5.792  4.275
       1978  8  -8.9  0.416  6.081  4.452
       1978  8  -6.4  0.398  4.845  3.250
       1978  8  -8.5  0.300  5.754  4.356
       1978  8  -7.0  0.580  5.163  3.205
       1978  8  -7.4  0.266  5.541  4.210
       1978  8  -9.6  0.382  6.460  4.898
       1978  8  -6.9  0.336  5.031  3.561
       1978  8  -5.5  0.345  4.672  3.183
       1978  8  -9.8  0.411  6.233  4.613
       1978  8  -7.1  0.403  5.071  3.468
       1978  8  -8.5  0.411  5.699  4.078
       1978  8  -7.5  0.299  5.214  3.818
       1978  8  -6.3  0.109  4.845  3.828
       1978  8  -8.4  0.399  6.039  4.442
       1978  8  -7.4  0.191  5.575  4.394
       1978  8  -6.8  0.337  5.287  3.814
       1978  8  -5.6  0.165  4.509  3.381
       1978  8  -6.0  0.234  4.852  3.586
       1978  8  -6.1  0.519  5.145  3.310
       1978  8  -7.6  0.232  5.293  4.031
       1978  8  -8.5  0.195  6.030  4.842
       1978  8  -7.8  0.474  5.780  4.034
       1978  8  -8.7  0.273  6.043  4.700
       1978  8  -8.9  0.425  5.853  4.205
       1978  8  -6.7  0.628  4.999  2.945
       1978  8  -8.8  0.196  5.887  4.697
       1978  8  -7.1  0.409  5.563  3.946
       1978  8  -5.7  0.580  4.555  2.597
       1978  8  -6.6  0.255  5.240  3.932
       1978  8  -8.0  0.585  5.489  3.520
       1978  8  -6.7  0.440  4.931  3.252
       1978  8  -8.3  0.318  6.010  4.576
       1978  8  -7.3  0.398  5.204  3.609
       1978  8  -8.3  0.431  5.601  3.941
       1978  8  -8.5  0.385  5.668  4.099
       1978  8  -9.8  0.504  6.213  4.407
       1978  8  -6.8  0.479  5.250  3.494
       1978  8  -7.1  0.272  5.186  3.844
       1978  8 -10.1  0.491  6.449  4.668
       1978  8  -8.7  0.279  6.047  4.690
       1978  8  -8.5  0.409  6.085  4.468
       1978  8  -5.3  0.530  4.858  3.000
       1978  8  -6.8  0.415  5.001  3.374
       1978  8  -8.2  0.488  5.547  3.773
       1978  8  -7.2  0.106  5.474  4.463
       1978  8  -7.5  0.072  5.509  4.566
       1978  8  -8.7  0.640  5.769  3.690
       1978  8  -8.6  0.220  5.972  4.735
       1978  8  -5.5  0.569  4.512  2.575
       1978  8  -7.3  0.261  5.597  4.277
       1978  8  -7.5  0.346  5.307  3.817
       1978  8  -5.9  0.350  4.933  3.435
       1978  8  -7.2  0.491  5.192  3.411
       1978  8  -6.6  0.179  5.245  4.089
       1978  8  -6.8  0.210  5.025  3.807
       1978  8  -7.2  0.150  5.484  4.385
       1978  8  -7.6  0.264  5.641  4.314
       1978  8  -6.3  0.443  5.120  3.437
       1978  8  -6.2  0.074  5.123  4.177
       1978  8  -6.5  0.604  4.856  2.850
       1978  8  -7.3  0.298  5.510  4.115
       1978  8  -7.4  0.335  5.523  4.054
       1978  8  -8.1  0.343  5.522  4.037
       1978  8  -8.9  0.418  5.834  4.199
       1978  8  -8.9  0.352  5.832  4.330
       1978  8  -7.8  0.436  5.443  3.773
       1978  8 -10.2  0.358  6.737  5.223
       1978  8  -9.0  0.226  5.910  4.660
       1978  8 -10.3  0.522  6.645  4.803
       1978  8  -7.1  0.101  5.352  4.352
       1978  8  -7.3  0.306  5.195  3.785
       1978  8  -8.2  0.412  5.565  3.942
       1978  8  -8.8  0.200  6.179  4.981
       1978  8  -6.3  0.420  5.081  3.442
       1978  8  -6.0  0.292  4.943  3.561
       1978  8  -8.5  0.426  5.619  3.969
       1978  8  -5.6  0.374  4.543  2.997
       1978  8  -7.3  0.287  5.464  4.091
       1978  8  -6.2  0.246  4.876  3.585
       1978  8  -6.4 -0.006  5.061  4.276
       1978  8  -7.3  0.225  5.218  3.970
       1978  8  -6.9  0.112  5.321  4.299
       1978  8  -7.2  0.258  5.378  4.064
       1978  8  -8.7  0.403  5.709  4.105
       1978  8  -7.9  0.285  5.745  4.377
       1978  8  -7.5  0.551  5.663  3.764
       1978  8  -5.9  0.023  4.691  3.848
       1978  8  -6.9  0.331  5.401  3.941
       1978  8  -8.4  0.312  6.039  4.617
       1978  8  -7.7  0.310  5.395  3.976
       1978  8  -7.5  0.658  5.597  3.482
       1978  8  -8.3  0.343  5.755  4.271
       1978  8  -8.2  0.332  5.602  4.141
       1978  8  -6.3  0.575  4.850  2.902
       1978  8  -6.2  0.501  5.041  3.241
       1978  8  -8.0  0.496  5.857  4.066
       1978  8  -6.9  0.173  5.086  3.941
       1978  8  -7.7  0.195  5.597  4.410
       1978  8  -7.9  0.452  5.391  3.689
       1978  8  -6.8  0.373  5.425  3.881
       1978  8  -8.0  0.318  5.809  4.375
       1978  8  -8.2  0.420  5.559  3.920
       1978  8  -7.5  0.321  5.563  4.123
       1978  8  -7.7  0.352  5.683  4.182
       1978  8  -7.8  0.300  5.702  4.304
       1978  8  -5.3  0.445  4.637  2.949
       1978  8  -7.3  0.458  5.558  3.843
       1978  8  -7.1  0.306  5.236  3.826
       1978  8  -7.1  0.341  5.226  3.747
       1978  8  -7.8  0.275  5.788  4.441
       1978  8  -7.5  0.425  5.265  3.616
       1978  8 -10.2  0.452  6.381  4.679
       1978  8  -7.3  0.887  5.649  3.076
       1978  8  -7.5  0.309  5.263  3.846
       1978  8  -8.1  0.441  5.552  3.871
       1978  8  -8.6  0.316  5.982  4.552
       1978  8  -8.0  0.446  5.500  3.809
       1978  8  -7.2  0.308  5.379  3.964
