      # name ref Mv logRe logM* logSigma_e
       1125  2 -18.6  2.990  9.994  3.216
       1475  2 -18.4  2.881  9.843  3.283
       1178  2 -18.5  2.696  9.959  3.768
       1283  2 -18.5  3.191  9.975  2.795
       1261  2 -18.1  3.219  9.631  2.395
        698  2 -18.4  3.097  9.880  2.888
       1422  2 -17.9  3.220  9.558  2.320
       2048  2 -17.6  2.992  9.433  2.650
       1871  2 -17.4  2.748  9.512  3.217
          9  2 -17.6  3.421  9.391  1.752
       1910  2 -17.4  2.995  9.477  2.688
       1049  2 -16.7  2.866  9.015  2.486
        856  2 -17.2  3.106  9.261  2.250
        140  2 -17.4  2.871  9.329  2.789
       1355  2 -17.0  3.345  9.164  1.676
       1087  2 -17.6  3.199  9.466  2.270
       1861  2 -17.3  3.129  9.361  2.304
        543  2 -17.3  3.152  9.327  2.225
       1431  2 -17.2  2.902  9.418  2.817
       1528  2 -17.1  2.899  9.278  2.683
       1695  2 -17.2  3.277  9.223  1.871
       1833  2 -17.0  2.782  9.170  2.808
        437  2 -17.6  3.312  9.462  2.040
       2019  2 -17.0  3.141  9.172  2.092
         33  2 -16.4  2.866  8.875  2.345
        200  2 -16.6  3.016  9.038  2.207
        571  2 -16.6  3.040  8.979  2.101
         21  2 -16.5  2.946  8.858  2.168
       1488  2 -16.6  2.899  8.882  2.284
       1779  2 -16.6  2.946  8.912  2.221
       1895  2 -16.5  2.914  8.941  2.314
       1499  2 -16.3  2.681  8.715  2.555
       1545  2 -16.7  2.945  9.150  2.463
       1192  2 -17.1  2.769  9.435  3.099
       1857  2 -16.5  3.233  8.880  1.616
       1075  2 -16.5  3.114  8.963  1.936
       1948  2 -15.9  2.967  8.654  1.922
       1627  2 -16.4  2.501  9.090  3.290
       1440  2 -16.8  2.798  9.122  2.728
        230  2 -16.0  2.882  8.748  2.185
       2050  2 -16.3  2.957  8.873  2.162
       1993  2 -15.9  2.894  8.752  2.167
        751  2 -16.8  2.964  9.193  2.467
       1828  2 -16.4  3.096  8.947  1.956
        538  2 -15.5  2.593  8.557  2.573
       1407  2 -16.4  2.929  8.956  2.299
       1886  2 -16.1  3.022  8.724  1.882
       1199  2 -15.8  2.445  8.962  3.274
       1743  2 -15.9  2.928  8.722  2.068
       1539  2 -16.3  3.293  8.894  1.509
       1185  2 -16.2  3.203  8.910  1.705
       1826  2 -15.9  2.754  8.717  2.411
       1489  2 -15.5  2.937  8.521  1.848
       1661  2 -16.9  3.594  9.186  1.200
    HCC-001  3 -22.4  4.537 11.679  1.808
    HCC-002  3 -21.6  3.647 11.345  3.254
    HCC-005  3 -19.6  3.126 10.532  3.481
    HCC-006  3 -19.3  2.708 10.316  4.101
    HCC-007  3 -19.2  3.227 10.303  3.052
    HCC-009  3 -19.0  3.314 10.230  2.804
    HCC-010  3 -19.0  3.048 10.297  3.403
    HCC-011  3 -18.8  3.237 10.114  2.842
    HCC-013  3 -18.1  2.780  9.766  3.408
    HCC-014  3 -17.6  2.696  9.634  3.444
    HCC-015  3 -17.3  2.844  9.398  2.912
    HCC-016  3 -17.0  2.824  9.431  2.985
    HCC-017  3 -16.9  3.036  9.163  2.294
    HCC-018  3 -16.8  3.002  9.103  2.300
    HCC-019  3 -16.5  2.987  9.072  2.300
    HCC-020  3 -16.2  3.033  8.839  1.975
    HCC-021  3 -15.8  3.029  8.755  1.899
    HCC-022  3 -15.7  2.751  8.601  2.302
    HCC-023  3 -15.6  2.961  8.675  1.955
    HCC-024  3 -15.6  2.828  8.554  2.100
    HCC-025  3 -15.5  2.843  8.671  2.187
    HCC-026  3 -15.5  2.895  8.485  1.897
    HCC-027  3 -15.3  2.894  8.638  2.052
    HCC-028  3 -15.3  2.783  8.598  2.234
    HCC-029  3 -15.2  2.807  8.459  2.047
    HCC-030  3 -15.0  3.103  8.268  1.265
    HCC-031  3 -14.9  3.218  8.294  1.059
    HCC-032  3 -14.9  3.084  8.245  1.279
    HCC-033  3 -14.8  3.060  8.226  1.309
    HCC-034  3 -14.3  2.844  8.030  1.544
    HCC-035  3 -14.2  2.834  8.093  1.626
    HCC-036  3 -14.1  3.152  7.894  0.793
    HCC-037  3 -14.1  2.903  7.928  1.325
    HCC-038  3 -14.0  2.547  7.836  1.943
    HCC-039  3 -14.0  2.930  7.956  1.297
    HCC-040  3 -13.6  2.708  7.781  1.567
    HCC-041  3 -13.6  2.821  7.732  1.292
    HCC-042  3 -13.5  3.024  7.634  0.787
    HCC-043  3 -13.5  2.874  7.847  1.300
    HCC-044  3 -13.5  2.936  7.848  1.178
    HCC-045  3 -13.5  2.706  8.063  1.852
    HCC-046  3 -13.4  3.113  7.644  0.620
    HCC-047  3 -13.4  2.710  7.673  1.455
    HCC-048  3 -13.4  2.629  7.875  1.818
    HCC-049  3 -13.3  2.854  7.618  1.112
    HCC-050  3 -13.3  3.024  7.564  0.717
    HCC-051  3 -13.2  2.866  7.691  1.160
    HCC-052  3 -13.1  2.898  7.820  1.227
    HCC-053  3 -13.1  2.827  7.937  1.486
    HCC-054  3 -13.0  2.825  7.496  1.047
    HCC-055  3 -13.0  3.005  7.478  0.669
    HCC-056  3 -12.8  2.798  7.358  0.964
    HCC-057  3 -12.7  2.688  7.380  1.205
    HCC-058  3 -12.6  2.987  7.570  0.798
    HCC-059  3 -12.6  2.857  7.412  0.901
    HCC-060  3 -12.6  2.799  7.316  0.920
    HCC-061  3 -12.6  2.731  7.338  1.078
    HCC-062  3 -12.6  2.639  7.356  1.280
    HCC-063  3 -12.4  2.696  7.260  1.070
    HCC-064  3 -12.4  2.690  7.217  1.038
    HCC-065  3 -12.3  2.836  7.218  0.749
    HCC-066  3 -12.3  2.506  7.198  1.388
    HCC-067  3 -12.2  2.873  7.106  0.561
    HCC-068  3 -12.2  2.645  7.128  1.039
    HCC-069  3 -12.1  2.572  7.185  1.243
    HCC-070  3 -12.0  2.530  7.056  1.198
    HCC-071  3 -12.0  2.629  7.052  0.995
    HCC-072  3 -11.9  2.870  7.101  0.562
    HCC-073  3 -11.9  2.862  7.105  0.583
    HCC-074  3 -11.9  3.173  7.044 -0.101
    HCC-075  3 -11.9  2.443  7.153  1.469
    HCC-076  3 -11.8  2.487  6.952  1.180
    HCC-077  3 -11.8  2.910  6.988  0.370
    HCC-078  3 -11.8  2.761  7.114  0.794
    HCC-079  3 -11.8  2.824  6.984  0.538
    HCC-080  3 -11.8  2.603  7.012  1.008
    HCC-081  3 -11.8  2.727  6.956  0.703
    HCC-082  3 -11.8  3.026  6.946  0.095
    HCC-083  3 -11.7  2.686  6.992  0.821
    HCC-084  3 -11.7  2.467  6.966  1.234
    HCC-085  3 -11.7  2.869  7.005  0.469
    HCC-086  3 -11.7  2.569  6.924  0.988
    HCC-087  3 -11.6  3.495  7.053 -0.736
    HCC-088  3 -11.6  2.805  6.895  0.486
    HCC-089  3 -11.6  2.718  6.862  0.628
    HCC-090  3 -11.5  2.467  6.853  1.121
    HCC-091  3 -11.5  2.527  6.881  1.029
    HCC-092  3 -11.4  2.807  6.782  0.370
    HCC-093  3 -11.4  2.509  6.833  1.017
    HCC-094  3 -11.4  2.853  6.773  0.270
    HCC-095  3 -11.4  2.727  6.768  0.515
    HCC-096  3 -11.2  2.684  6.772  0.605
    HCC-097  3 -11.2  2.788  6.710  0.336
    HCC-098  3 -11.2  2.533  6.702  0.837
    HCC-099  3 -11.2  2.763  6.903  0.579
    HCC-100  3 -11.1  2.714  6.808  0.582
    HCC-101  3 -11.1  2.506  6.892  1.082
    HCC-102  3 -10.8  2.942  6.559 -0.123
    HCC-103  3 -10.8  2.885  6.642  0.074
    HCC-104  3 -10.8  2.625  6.572  0.525
    HCC-105  3 -10.7  2.780  6.536  0.178
    HCC-106  3 -10.7  2.663  6.593  0.469
    HCC-107  3 -10.7  2.819  6.511  0.074
    HCC-108  3 -10.6  2.530  6.481  0.623
    HCC-109  3 -10.4  2.564  6.370  0.444
    HCC-110  3 -10.3  2.768  6.372  0.038
    HCC-111  3 -10.0  2.572  6.300  0.357
     C-1-01  4 -23.2  4.257 11.988  2.677
     C-3-02  4 -22.2  4.230 11.587  2.328
     C-4-05  4 -19.6  3.275 10.444  3.095
     C-3-06  4 -19.4  2.984 10.424  3.658
     C-1-08  4 -18.2  2.919  9.790  3.154
     C-2-09  4 -18.0  2.779  9.706  3.351
     C-1-10  4 -17.8  2.621  9.714  3.674
     C-3-11  4 -17.5  3.409  9.363  1.745
     C-4-12  4 -17.2  2.914  9.352  2.726
     C-4-13  4 -17.1  3.233  9.296  2.032
     C-1-14  4 -17.1  3.199  9.255  2.059
     C-5-15  4 -16.4  3.140  8.824  1.745
     C-1-16  4 -15.9  3.028  8.677  1.823
     C-2-17  4 -15.9  2.979  8.673  1.917
     C-3-18  4 -15.9  3.102  8.681  1.679
     C-3-19  4 -15.8  3.101  8.690  1.691
     C-2-20  4 -15.7  2.560  8.828  2.910
     C-1-21  4 -15.6  2.446  8.838  3.148
     C-2-22  4 -15.1  3.081  8.332  1.371
